ID,agestrat,COMscoreT,COMscoreT_SS
600007,120,26,83
600008,120,24,74
600009,108,23,73
600010,108,23,73
601002,156,31,109
601007,156,30,98
601011,204,28,87
602001,120,27,87
602002,60,21,85
602003,66,23,88
602004,66,25,95
602005,84,27,94
602006,78,22,79
602007,72,24,88
602008,78,23,82
605002,96,19,61
605003,96,22,72
607004,78,26,93
608001,42,25,112
608002,54,24,97
608003,60,27,108
608004,78,25,89
608005,36,21,98
608006,28,12,83
608007,60,28,115
608008,132,26,81
608009,42,26,118
608010,42,25,112
608011,66,26,98
608012,78,24,86
608013,32,12,79
608014,66,29,117
609003,54,18,80
612001,60,27,108
612002,54,25,100
612003,36,12,75
612004,24,14,92
612005,28,15,90
612006,28,19,100
612007,120,22,66
612008,108,25,81
612009,24,10,82
612010,28,8,74
612012,96,27,91
612013,108,29,97
612014,120,30,100
612017,84,29,103
701004,132,23,67
705002,78,17,61
