ID,agestrat,PHYscore,PHY_SS
128010,108,35,97
128011,120,37,107
128013,54,35,143
128014,120,37,107
128019,84,36,113
128020,72,31,94
128021,78,35,112
128022,108,37,111
128023,132,37,103
128024,96,36,107
128025,120,37,107
129001,120,35,92
129002,84,33,95
129003,8,8,112
129004,36,19,74
129005,36,27,114
129006,84,35,105
129007,42,24,90
129008,36,26,108
129009,28,23,108
129010,54,30,107
129011,108,37,111
129012,84,37,121
129013,120,37,107
129014,36,25,101
129015,48,27,97
129016,78,34,104
129017,66,33,111
129018,24,17,86
129019,48,29,109
129020,16,8,75
129021,48,26,92
129022,78,36,120
129023,36,30,135
129024,36,31,142
129025,48,28,102
129026,22,19,103
129027,108,37,111
129028,36,24,96
129029,78,33,98
129030,132,37,103
130001,60,36,142
130002,96,37,116
130003,60,34,127
130004,60,32,112
130005,72,34,111
130006,72,34,111
130007,84,37,121
130008,72,35,119
130009,72,34,111
130010,72,32,98
130011,84,35,105
130012,84,35,105
130013,84,37,121
130014,84,36,113
130015,54,35,143
130016,84,34,98
130017,84,35,105
130018,96,37,116
130019,96,37,116
130020,96,37,116
130021,96,37,116
130022,108,18,40
130023,108,37,111
130024,108,37,111
130025,108,37,111
130026,120,37,107
130027,120,37,107
130028,132,36,96
130029,132,37,103
131001,2,0,97
131002,10,9,107
131003,0,1,105
131004,66,33,111
131005,54,29,100
131006,36,22,87
131007,10,7,96
131008,42,29,119
131009,36,31,142
131010,28,23,108
131011,4,5,115
131012,84,37,121
131013,12,14,126
131014,42,32,140
131015,84,35,105
131016,96,35,99
131017,78,37,128
131018,132,37,103
131019,108,37,111
131020,20,13,83
131021,20,13,83
131022,36,28,121
131023,14,13,109
131024,48,30,116
131025,16,15,111
131026,0,0,100
131027,10,7,96
131028,96,36,107
131029,66,34,119
131030,12,8,92
131031,10,8,101
131032,10,7,96
131033,204,37,100
131034,36,30,135
131035,2,1,102
131036,22,21,116
131037,0,0,100
131038,4,3,103
131040,96,36,107
131041,42,29,119
131042,48,31,123
131043,42,27,104
131044,10,7,96
131045,2,1,102
131046,108,37,111
131047,84,36,113
131048,14,12,103
131049,0,0,100
131050,4,2,98
131051,14,10,93
131052,14,10,93
131053,6,5,105
131054,4,4,109
131055,42,30,126
131056,96,35,99
131057,72,35,119
131058,42,30,126
131059,84,37,121
131060,12,8,92
132002,6,7,116
132003,120,36,99
132006,78,37,128
132007,48,35,152
132008,22,22,123
132010,108,37,111
132011,32,25,111
132012,10,8,101
132015,72,35,119
132016,132,37,103
132017,132,37,103
132018,96,36,107
132019,54,30,107
132021,84,31,87
132022,96,37,116
132023,54,25,83
132024,132,37,103
132025,108,37,111
132026,108,37,111
132027,48,28,102
132028,16,12,94
132029,108,36,102
132030,42,34,154
133001,78,29,82
133002,120,36,99
133003,84,35,105
133004,42,27,104
133005,66,34,119
133006,96,37,116
133007,132,37,103
133010,24,22,112
133011,120,37,107
133012,84,34,98
133013,54,31,114
133015,78,36,120
133016,48,29,109
133019,96,37,116
133020,96,37,116
133022,32,25,111
133023,8,7,106
133025,96,35,99
133026,72,35,119
133028,108,37,111
133029,96,36,107
133030,78,36,120
134001,132,36,96
134002,132,37,103
134003,96,37,116
134004,96,37,116
134005,96,37,116
134006,84,36,113
134007,72,34,111
134008,132,37,103
134009,132,37,103
134010,96,37,116
134011,96,34,96
134012,96,36,107
134013,96,37,116
134014,96,36,107
134016,72,35,119
134017,72,31,94
134018,72,33,103
134019,78,34,104
134020,132,37,103
134021,132,37,103
134022,66,32,104
134023,96,37,116
134024,96,36,107
134025,96,37,116
134026,84,36,113
134027,22,23,129
134028,22,16,89
134029,22,17,93
134030,20,20,121
134031,24,22,112
134032,12,15,132
134033,28,20,92
134034,96,32,84
134035,72,33,103
134036,24,20,99
134037,24,17,86
134039,108,35,97
134040,22,20,110
134041,32,20,85
134042,24,20,99
134043,14,16,128
134044,108,37,111
134046,32,16,68
134047,10,10,113
135001,96,36,107
135002,36,29,128
135003,120,34,84
135004,66,35,127
135005,14,11,98
135006,54,34,136
135007,54,34,136
135008,78,36,120
135009,66,28,86
135010,96,37,116
135012,72,33,103
135013,42,21,77
135014,6,4,99
135015,96,36,107
135016,204,37,100
135017,132,37,103
135018,204,37,100
135019,66,34,119
135020,132,37,103
135021,120,37,107
135022,10,5,86
135023,132,37,103
135024,120,36,99
135025,204,35,87
135026,84,33,95
135027,60,33,120
135028,32,24,104
135029,24,17,86
135030,4,4,109
136001,132,36,96
136002,6,4,99
136003,14,14,115
136004,132,37,103
136005,120,37,107
136006,60,34,127
136007,96,36,107
136008,8,7,106
136011,60,33,120
136012,2,0,97
136013,4,1,93
136014,12,10,102
136015,28,18,83
136016,28,18,83
136017,28,20,92
136019,24,15,77
136020,8,6,100
136021,6,5,105
136023,24,21,106
136024,6,6,110
136025,8,7,106
136030,16,14,105
137001,132,37,103
137002,108,37,111
137003,66,27,82
137004,36,16,62
137005,120,37,107
137006,84,37,121
137007,28,21,96
137008,48,29,109
137009,66,34,119
137010,36,22,87
137011,28,17,79
137012,54,32,121
137013,4,4,109
137014,12,13,120
137015,60,33,120
137016,0,0,100
137017,72,34,111
137018,48,27,97
137019,28,14,66
137020,96,36,107
137021,54,26,87
137022,16,11,89
137023,32,12,50
137024,4,4,109
137025,14,14,115
137026,66,33,111
137027,96,36,107
137028,72,32,98
137029,108,37,111
137030,78,36,120
137031,32,29,138
137032,84,36,113
137033,108,37,111
137034,48,28,102
137035,108,37,111
137036,66,34,119
137037,96,37,116
137038,72,37,135
137039,54,35,143
137040,72,29,86
137041,36,17,66
137042,10,7,96
137043,84,36,113
137044,18,19,125
137045,36,26,108
137046,18,14,95
137047,0,1,105
137051,66,28,86
137052,0,0,100
138001,132,37,103
138003,108,37,111
138004,84,35,105
138005,96,36,107
138006,204,37,100
138007,120,37,107
138008,78,32,94
138009,54,26,87
138010,132,37,103
138011,28,19,88
138012,132,35,89
138013,108,35,97
138014,2,2,108
138015,4,4,109
138016,120,37,107
138017,96,37,116
138018,12,12,114
138019,6,6,110
138020,12,7,87
138021,24,22,112
139001,8,8,112
139002,22,17,93
139003,48,32,130
139004,42,29,119
139005,18,15,100
139006,22,20,110
139007,16,17,123
139008,18,13,91
139009,48,29,109
139010,24,19,95
139011,6,3,94
139012,24,17,86
139013,42,30,126
139014,10,8,101
139015,42,27,104
139016,14,13,109
139017,10,8,101
139018,48,34,145
139019,32,29,138
139020,60,35,135
139021,48,28,102
139022,28,19,88
141001,14,14,115
141002,20,19,114
141003,16,17,123
141004,18,10,77
141005,14,14,115
141006,18,11,81
141007,22,19,103
141008,24,18,90
141009,20,18,108
141010,20,17,102
141011,22,21,116
141012,20,15,92
141013,24,19,95
141014,14,14,115
141015,18,19,125
141016,16,16,117
141017,16,18,129
141018,16,12,94
141019,14,16,128
141021,18,20,131
141022,22,21,116
141023,20,15,92
141024,22,18,98
141025,20,18,108
141026,28,22,101
141027,24,22,112
141028,32,21,90
141029,32,21,90
141030,28,17,79
141031,36,20,79
141032,36,23,92
141033,36,23,92
141034,42,23,86
141035,32,26,118
141036,42,22,81
141037,36,22,87
141038,42,18,64
