ID,agestrat,COGscore
154045,132,42
154046,108,39
154047,120,42
154048,132,40
154049,78,33
154050,60,28
154051,6,5
154052,54,35
154054,8,5
154055,66,20
154056,108,42
154057,132,42
154058,120,41
154059,78,30
154060,120,41
154061,72,32
154062,14,5
154063,84,37
154064,48,24
154065,0,0
154066,0,2
154067,84,31
154068,132,42
154069,132,35
154070,132,36
154071,132,42
154072,78,32
154073,48,25
154074,28,16
154075,18,7
154076,132,41
154077,108,32
154078,84,30
154079,132,39
154080,120,35
154081,108,32
201003,66,35
201004,66,27
201005,60,24
201006,60,29
201007,72,27
201008,72,39
201009,72,34
201010,72,34
201011,66,26
201012,72,32
201013,66,33
201014,72,41
201015,66,33
201016,78,31
201020,54,25
201022,66,31
201030,72,39
201031,72,30
201033,66,32
201034,60,26
201040,66,34
201041,60,30
201043,54,28
201047,66,29
201050,72,39
201052,42,19
201053,66,23
201054,66,34
201056,54,30
202001,132,42
202002,108,40
202003,48,21
202004,108,36
202005,66,38
202006,54,27
202007,4,10
202008,96,42
202009,42,23
202010,4,5
202011,8,6
202012,132,40
202013,22,12
202014,42,18
202015,78,36
202016,10,7
202017,120,40
202018,48,18
202019,8,3
202020,6,5
202021,54,24
202022,28,12
202023,8,5
202024,24,21
202025,4,6
202026,42,25
202027,78,37
202028,42,24
202029,60,34
202030,2,4
202031,60,31
202032,42,25
202033,4,6
202034,6,5
202035,28,14
202036,20,14
202037,42,29
202038,42,29
202039,78,37
202040,6,4
202041,18,13
202042,42,27
202043,32,21
202044,36,21
202045,20,14
202046,16,12
202047,48,27
202048,96,40
202049,42,27
202050,96,38
202051,96,38
202052,78,39
202053,2,5
202054,6,5
202055,32,24
202056,54,28
202057,18,16
202058,48,25
202059,18,7
202060,48,20
202061,48,21
202062,42,21
202063,20,12
202064,0,1
202065,14,7
202066,42,18
202067,54,29
202068,28,18
202069,24,15
202070,6,6
202071,54,25
202072,8,7
202073,72,34
202074,18,10
202075,8,6
202076,120,42
202077,96,30
202078,12,5
202079,24,6
202080,36,11
202081,24,4
202082,108,38
202083,132,40
202085,132,41
202086,12,5
202087,42,14
202088,48,18
202089,78,35
202090,72,29
202091,96,39
202092,42,20
202093,60,23
202094,120,42
202095,28,11
202096,96,42
202097,84,35
202098,108,42
202099,132,42
202100,0,0
202101,48,26
202102,0,0
202103,66,40
202104,16,8
202105,24,15
202106,60,34
202107,132,42
202108,8,5
202109,132,41
202110,132,42
206001,42,15
206002,66,22
206003,78,30
206004,22,10
206005,84,35
206006,84,24
206008,84,33
206010,84,41
206015,72,36
206017,84,41
206019,78,37
206020,78,38
206024,84,37
207001,72,31
207002,60,25
207003,10,7
207004,96,41
207005,8,5
207006,20,13
207007,84,27
207008,10,9
207009,120,41
207010,48,26
207011,20,13
207012,48,19
207013,24,16
207014,8,5
207015,24,17
207016,12,9
207017,120,38
207018,96,39
207019,6,5
207020,32,19
207021,60,27
207022,8,6
207023,36,16
207024,84,32
207025,18,13
208001,54,16
208002,48,20
208003,54,39
208004,48,24
208005,48,23
208006,66,35
208007,60,23
208008,54,23
208009,54,29
208117,66,40
208118,66,26
211002,60,27
211003,120,40
211004,132,41
211005,108,41
211006,54,20
211007,42,17
211008,132,42
211009,84,38
211012,24,13
211014,28,21
211015,16,10
211016,78,38
211017,60,31
211018,28,18
211020,108,41
211021,72,27
211022,156,42
211023,108,42
211024,66,36
213001,32,18
213002,54,23
213003,72,15
215001,84,37
215002,48,28
215003,18,13
215004,84,37
215005,120,40
215006,2,4
215007,24,12
215008,4,1
215009,18,13
215010,24,20
216001,84,41
216002,132,42
216003,132,42
216004,48,25
216005,96,39
216006,66,28
216007,36,23
216008,108,41
216009,84,40
216011,132,42
216012,120,42
216013,132,42
216014,8,6
216015,42,17
216016,96,42
216017,84,38
216018,48,23
216019,18,16
218001,16,10
218003,60,31
218004,48,23
218005,84,36
218006,4,5
218007,24,23
218008,6,5
218009,72,26
218010,20,14
218011,10,5
218012,24,17
218013,8,8
218014,8,5
218015,18,17
218016,6,6
218017,12,8
218018,14,11
218019,20,13
218020,4,6
218021,12,8
218022,4,5
218023,6,5
218024,6,5
218025,4,4
218026,18,14
218027,4,4
218028,18,13
218030,10,5
218031,10,7
218032,18,16
218033,4,4
218034,16,9
218035,16,9
218036,12,10
218037,12,10
219001,78,35
219002,108,42
219003,60,33
219004,84,37
219005,84,39
219006,96,41
219007,72,42
219008,120,41
219009,96,39
219010,66,31
220001,108,42
220002,78,36
220003,42,25
220004,24,13
220005,132,42
220006,22,14
220007,54,24
220008,108,42
220009,84,20
220010,66,31
220011,66,30
220012,60,27
220013,66,31
220015,60,29
220016,48,23
220017,66,33
220018,78,39
220019,96,39
220020,78,34
220021,24,19
220022,24,13
220023,54,26
220024,78,39
220025,108,42
220026,4,4
220027,6,7
220028,96,41
220029,14,8
220030,132,41
220031,132,41
220032,120,40
220033,48,36
220034,132,41
220035,132,42
220036,120,42
220037,72,34
220038,20,13
220039,12,15
220040,28,20
220041,32,18
220042,8,5
220043,28,16
220044,72,33
221001,36,17
221002,18,7
221003,18,11
221004,28,18
221005,72,40
221006,72,30
221007,32,16
221008,72,34
221009,72,35
221010,12,12
221011,22,14
221012,66,30
